법정동코드,sigunguCd,bjdongCd,지역,시도명,시군구명,읍면동명,리명,법정동명,생성일자
1111010100,11110,10100,서울,서울특별시,종로구,청운동,,서울특별시 종로구 청운동,1988-04-23
1111010200,11110,10200,서울,서울특별시,종로구,신교동,,서울특별시 종로구 신교동,1988-04-23
1111010300,11110,10300,서울,서울특별시,종로구,궁정동,,서울특별시 종로구 궁정동,1988-04-23
1111010400,11110,10400,서울,서울특별시,종로구,효자동,,서울특별시 종로구 효자동,1988-04-23
1111010500,11110,10500,서울,서울특별시,종로구,창성동,,서울특별시 종로구 창성동,1988-04-23
1111010600,11110,10600,서울,서울특별시,종로구,통의동,,서울특별시 종로구 통의동,1988-04-23
1111010700,11110,10700,서울,서울특별시,종로구,적선동,,서울특별시 종로구 적선동,1988-04-23
1111010800,11110,10800,서울,서울특별시,종로구,통인동,,서울특별시 종로구 통인동,1988-04-23
1111010900,11110,10900,서울,서울특별시,종로구,누상동,,서울특별시 종로구 누상동,1988-04-23
1111011000,11110,11000,서울,서울특별시,종로구,누하동,,서울특별시 종로구 누하동,1988-04-23
1111011100,11110,11100,서울,서울특별시,종로구,옥인동,,서울특별시 종로구 옥인동,1988-04-23
1111011200,11110,11200,서울,서울특별시,종로구,체부동,,서울특별시 종로구 체부동,1988-04-23
1111011300,11110,11300,서울,서울특별시,종로구,필운동,,서울특별시 종로구 필운동,1988-04-23
1111011400,11110,11400,서울,서울특별시,종로구,내자동,,서울특별시 종로구 내자동,1988-04-23
1111011500,11110,11500,서울,서울특별시,종로구,사직동,,서울특별시 종로구 사직동,1988-04-23
1111011600,11110,11600,서울,서울특별시,종로구,도렴동,,서울특별시 종로구 도렴동,1998-12-01
1111011700,11110,11700,서울,서울특별시,종로구,당주동,,서울특별시 종로구 당주동,1998-12-01
1111011800,11110,11800,서울,서울특별시,종로구,내수동,,서울특별시 종로구 내수동,1998-12-01
1111011900,11110,11900,서울,서울특별시,종로구,세종로,,서울특별시 종로구 세종로,1998-12-01
1111012000,11110,12000,서울,서울특별시,종로구,신문로1가,,서울특별시 종로구 신문로1가,1998-12-01
1111012100,11110,12100,서울,서울특별시,종로구,신문로2가,,서울특별시 종로구 신문로2가,1998-12-01
1111012200,11110,12200,서울,서울특별시,종로구,청진동,,서울특별시 종로구 청진동,1998-12-01
1111012300,11110,12300,서울,서울특별시,종로구,서린동,,서울특별시 종로구 서린동,1998-12-01
1111012400,11110,12400,서울,서울특별시,종로구,수송동,,서울특별시 종로구 수송동,1998-12-01
1111012500,11110,12500,서울,서울특별시,종로구,중학동,,서울특별시 종로구 중학동,1998-12-01
1111012600,11110,12600,서울,서울특별시,종로구,종로1가,,서울특별시 종로구 종로1가,1998-12-01
1111012700,11110,12700,서울,서울특별시,종로구,공평동,,서울특별시 종로구 공평동,1998-12-01
1111012800,11110,12800,서울,서울특별시,종로구,관훈동,,서울특별시 종로구 관훈동,1998-12-01
1111012900,11110,12900,서울,서울특별시,종로구,견지동,,서울특별시 종로구 견지동,1998-12-01
1111013000,11110,13000,서울,서울특별시,종로구,와룡동,,서울특별시 종로구 와룡동,1998-12-01
1111013100,11110,13100,서울,서울특별시,종로구,권농동,,서울특별시 종로구 권농동,1998-12-01
1111013200,11110,13200,서울,서울특별시,종로구,운니동,,서울특별시 종로구 운니동,1998-12-01
1111013300,11110,13300,서울,서울특별시,종로구,익선동,,서울특별시 종로구 익선동,1998-12-01
1111013400,11110,13400,서울,서울특별시,종로구,경운동,,서울특별시 종로구 경운동,1998-12-01
1111013500,11110,13500,서울,서울특별시,종로구,관철동,,서울특별시 종로구 관철동,1998-12-01
1111013600,11110,13600,서울,서울특별시,종로구,인사동,,서울특별시 종로구 인사동,1998-12-01
1111013700,11110,13700,서울,서울특별시,종로구,낙원동,,서울특별시 종로구 낙원동,1998-12-01
1111013800,11110,13800,서울,서울특별시,종로구,종로2가,,서울특별시 종로구 종로2가,1998-12-01
1111013900,11110,13900,서울,서울특별시,종로구,팔판동,,서울특별시 종로구 팔판동,1988-04-23
1111014000,11110,14000,서울,서울특별시,종로구,삼청동,,서울특별시 종로구 삼청동,1988-04-23
1111014100,11110,14100,서울,서울특별시,종로구,안국동,,서울특별시 종로구 안국동,1988-04-23
1111014200,11110,14200,서울,서울특별시,종로구,소격동,,서울특별시 종로구 소격동,1988-04-23
1111014300,11110,14300,서울,서울특별시,종로구,화동,,서울특별시 종로구 화동,1988-04-23
1111014400,11110,14400,서울,서울특별시,종로구,사간동,,서울특별시 종로구 사간동,1988-04-23
1111014500,11110,14500,서울,서울특별시,종로구,송현동,,서울특별시 종로구 송현동,1988-04-23
1111014600,11110,14600,서울,서울특별시,종로구,가회동,,서울특별시 종로구 가회동,1988-04-23
1111014700,11110,14700,서울,서울특별시,종로구,재동,,서울특별시 종로구 재동,1988-04-23
1111014800,11110,14800,서울,서울특별시,종로구,계동,,서울특별시 종로구 계동,1988-04-23
1111014900,11110,14900,서울,서울특별시,종로구,원서동,,서울특별시 종로구 원서동,1988-04-23
1111015000,11110,15000,서울,서울특별시,종로구,훈정동,,서울특별시 종로구 훈정동,1998-12-01
1111015100,11110,15100,서울,서울특별시,종로구,묘동,,서울특별시 종로구 묘동,1998-12-01
1111015200,11110,15200,서울,서울특별시,종로구,봉익동,,서울특별시 종로구 봉익동,1998-12-01
