선행수요순위,지역,건축허가건수,건축허가_연면적합계,공동주택_연면적,업무시설_연면적,공장_연면적,착공연계_연면적,실제착공_연면적,착공예정_연면적,사용승인_연면적,대형허가건수,세대수합계,건축허가_선행수요지수
1,부산,690,31465885.3372,676627.3326,615421.6436,2082135.4756,824179.5308,824179.5308,0.0,2555571.5394,55,3180,2709.0639374328002
2,대전,332,20703509.5887,13690.0,27802.6087,124164.19,961466.074,961466.074,0.0,1314923.952,22,67,1995.331927115
3,서울,1257,18412523.3203,9155337.686900001,3794272.8209999995,0.0,3492499.0930999992,2996849.6579999994,495649.43510000006,4312951.9724,143,22492,1843.1922864771
4,경북,207,6168215.376,0.0,0.0,5974310.039,210944.404,210944.404,0.0,5929236.472,10,4,183.16730356199997
5,경남,207,1070994.1441000002,2033.52,0.0,118472.23,292635.26599999995,292635.26599999995,0.0,109565.915,9,39,97.194541679
6,인천,429,1507894.1310999999,76802.38999999998,134167.033,288789.201,372809.11499999993,372809.11499999993,0.0,710114.8803,22,208,96.7541590232
7,울산,875,2056512.474,1150.92,0.0,1878326.014,191504.722,191504.722,0.0,1665709.2820000001,24,17,82.09671643
8,경기,810,1604604.2728,15787.76,69884.92,259452.14,229967.195,229967.195,0.0,1163388.942,11,98,77.933800182
9,제주,541,1151094.8429,36293.477900000005,53300.3045,6306.12,90872.80890000002,90872.80890000002,0.0,493111.24249999993,13,345,75.8481087553
10,대구,485,1035866.4169,48635.758700000006,15830.67,108162.875,151833.36800000005,133572.84500000003,18260.523,676935.6845000001,17,343,53.6151443444
11,전북,208,469583.2193,98059.7421,18501.858,675.5,88259.45250000003,88259.45250000003,0.0,153425.51099999997,7,605,37.503745287
12,세종,269,597890.5952,33432.866200000004,140560.69,182551.76,119250.45619999999,116497.25619999999,2753.2,316545.725,18,241,36.8583209472
13,강원,410,538772.961,0.0,3301.48,155122.41,153524.45,153524.45,0.0,305102.016,10,5,30.536185237999998
14,충남,404,285114.75789999997,51223.3594,3169.23,112139.41500000001,106241.325,106174.80500000002,66.52,97879.2444,5,263,20.8115725816
15,충북,225,182940.5412,0.0,34755.51,0.0,24718.840000000004,24718.840000000004,0.0,79685.53899999999,6,11,11.748243389
